game_date,player_name,goal_min,penalty,own_goal
1926-01-02,Billy Fogg,,,0
1926-01-09,Fred Marquis,,,0
1926-01-16,Norman Proctor,,,0
1926-01-16,Bob White,,,0
1926-01-23,Bob White,,,0
1926-01-23,Johnny Campbell,,,0
1926-02-06,Bob White,,,0
1926-02-20,Bert Cartman,,,0
1926-02-20,Sammy Beswick,,,0
1926-02-27,Tom Stuart,,,0
1926-02-27,Bob White,,,0
1926-03-06,Jimmy Moreton,,,0
1926-03-13,Billy Charlton,,,0
1926-03-13,Fred Marquis,,,0
1926-03-20,Fred Marquis,,,0
1926-03-27,Billy Charlton,,,0
1926-03-27,Fred Marquis,,,0
1926-04-02,OG,,,1
1926-04-02,Bert Cartman,,,0
1926-04-02,Tom Stuart,,,0
1926-04-03,Norman Proctor,,,0
1926-04-03,Harry Littlehales,,,0
1926-04-03,Fred Marquis,,,0
1926-04-03,Bert Cartman,,,0
1926-04-05,Fred Marquis,,,0
1926-04-05,Harry Littlehales,,,0
1926-04-06,Harry Littlehales,,,0
1926-04-17,Fred Marquis,,,0
1926-04-24,Norman Proctor,,,0
1926-04-24,Fred Marquis,,,0
1926-05-01,Norman Proctor,,,0
1926-05-01,Bob White,,,0
1926-08-28,Fred Marquis,,,0
1926-08-28,Billy Charlton,,,0
1926-08-28,Bert Cartman,,,0
1926-08-30,Billy Charlton,,,0
1926-09-04,Billy Charlton,,,0
1926-09-04,Fred Marquis,,,0
1926-09-06,Bert Cartman,,,0
1926-09-06,Billy Charlton,,,0
1926-09-18,OG,,,1
1926-09-18,Bert Cartman,,,0
1926-09-18,Norman Proctor,,,0
1926-09-20,Harry Littlehales,,,0
1926-10-02,OG,,,1
1926-10-09,Billy Charlton,,,0
1926-10-16,Billy Charlton,,,0
1926-10-23,OG,,,1
1926-10-23,Billy Charlton,,,0
1926-10-23,Fred Marquis,,,0
1926-10-30,Fred Marquis,,,0
1926-11-06,Jack Flanagan,,,0
1926-11-13,Billy Charlton,,,0
1926-11-20,Jack Flanagan,,,0
1926-11-27,Fred Marquis,,,0
1926-12-02,Harry Littlehales,,,0
1926-12-04,Bert Cartman,,,0
1926-12-18,Ellis Rimmer,,,0
1926-12-18,Jack Flanagan,,,0
1926-12-25,Ellis Rimmer,,,0
1926-12-25,Jack Flanagan,,,0
1926-12-25,Fred Marquis,,,0
1926-12-27,Tommy Jones,,,0
1926-12-27,Jack Flanagan,,,0
1927-01-01,Ginger Lewis,,,0
1927-01-01,Jack Flanagan,,,0
1927-01-01,OG,,,1
1927-01-08,Jack Flanagan,,,0
1927-01-08,Tommy Jones,,,0
1927-01-15,Jack Flanagan,,,0
1927-01-15,Norman Proctor,,,0
1927-01-15,Vince Matthews,,,0
1927-01-15,Ellis Rimmer,,,0
1927-01-15,Bob White,,,0
1927-01-15,Tommy Jones,,,0
1927-01-24,Ellis Rimmer,,,0
1927-01-29,Jack Flanagan,,,0
1927-02-05,Jack Flanagan,,,0
1927-02-05,Bob White,,,0
1927-02-12,Ellis Rimmer,,,0
1927-02-19,Jack Flanagan,,,0
1927-02-19,Tommy Jones,,,0
1927-02-26,Ellis Rimmer,,,0
1927-03-05,Jack Flanagan,,,0
1927-03-05,Fred Marquis,,,0
1927-03-05,Bob White,,,0
1927-03-19,Tommy Jones,,,0
1927-03-19,Jack Flanagan,,,0
1927-03-19,Ellis Rimmer,,,0
1927-03-26,Tommy Jones,,,0
1927-04-02,Ellis Rimmer,,,0
1927-04-16,Ellis Rimmer,,,0
1927-04-16,Jack Flanagan,,,0
1927-04-16,Fred Marquis,,,0
1927-04-18,Jack Flanagan,,,0
1927-04-23,Tommy Jones,,,0
1927-04-23,Billy Charlton,,,0
1927-04-30,Jack Flanagan,,,0
1927-04-30,Fred Marquis,,,0
1927-04-30,Tommy Jones,,,0
1927-05-07,Bert Cartman,,,0
1927-05-07,Jack Flanagan,,,0
1927-08-27,Jack Flanagan,,,0
1927-08-29,Billy Charlton,,,0
1927-09-03,Tommy Jones,,,0
1927-09-03,Pongo Waring,,,0
1927-09-10,Ellis Rimmer,,,0
1927-09-10,Ginger Lewis,,,0
1927-09-17,Pongo Waring,,,0
1927-09-17,Billy Charlton,,,0
1927-09-24,Pongo Waring,,,0
1927-10-01,Pongo Waring,,,0
1927-10-15,Ellis Rimmer,,,0
1927-10-15,Pongo Waring,,,0
1927-10-15,Billy Charlton,,,0
1927-10-15,Bert Cartman,,,0
1927-10-22,Billy Charlton,,,0
1927-10-22,Harry Littlehales,,,0
1927-10-29,Billy Charlton,,,0
1927-10-29,Ellis Rimmer,,,0
1927-11-05,Ellis Rimmer,,,0
1927-11-05,Pongo Waring,,,0
1927-11-19,Pongo Waring,,,0
1927-11-19,Billy Charlton,,,0
1927-11-26,Pongo Waring,,,0
1927-11-26,Billy Charlton,,,0
1927-12-03,Pongo Waring,,,0
