game_date,player_name,yellow_card
2022-12-03,Ethan Bristow,1
2022-12-03,Kane Hemmings,1
2022-12-10,Paul Lewis,1
2022-12-26,Ethan Bristow,1
2022-12-29,Jordan Turnbull,1
2023-01-01,Tom Davies,1
2023-01-07,Kieron Morris,1
2023-01-07,Lee O'Connor,1
2023-01-07,Joel Mumbongo,1
2023-01-07,Kane Hemmings,1
2023-01-14,Jordan Turnbull,1
2023-01-14,Kieron Morris,1
2023-02-07,Jordan Turnbull,1
2023-02-07,Brad Walker,1
2023-02-07,Regan Hendry,1
2023-02-04,Tom Davies,1
2023-02-11,Jordan Turnbull,1
2023-02-11,Lee O'Connor,1
2023-02-14,Tom Davies,1
2023-02-25,Josh Dacres-Cogley,1
2023-02-25,Tom Davies,1
2023-02-25,Regan Hendry,1
2023-02-25,Josh Hawkes,1
2023-03-11,Regan Hendry,1
2023-03-18,Harvey Saunders,1
2023-03-25,Joe Murphy,1
2023-03-25,Josh Dacres-Cogley,1
2023-03-25,Tom Davies,1
2023-03-25,Jordan Turnbull,1
2023-03-25,Ethan Bristow,1
2023-03-25,Regan Hendry,1
2023-03-25,Harvey Saunders,1
2023-03-25,Joel Mumbongo,1
2023-03-31,Josh Dacres-Cogley,1
2023-03-31,Jordan Turnbull,1
2023-03-31,Regan Hendry,1
2023-04-07,Kane Hemmings,1
2023-04-15,Jordan Turnbull,1
2023-04-15,Regan Hendry,1
2023-04-18,Kane Hemmings,1
2023-04-22,Jordan Turnbull,1
2023-05-08,Tom Davies,1
2022-10-04,Kyle Jameson,1
2022-10-04,Jon Nolan,1
2022-10-04,Paul Lewis,1
2022-10-04,Elliott Nevitt,1
2022-09-20,Dynel Simeu,1
2022-09-20,Paul Lewis,1
2022-10-18,Kyle Jameson,1
2022-08-24,Kane Hemmings,1
2022-11-05,Tom Davies,1
2022-11-22,Jordan Turnbull,1
2022-11-22,Chris Merrie,1
2022-11-22,Kane Hemmings,1
2023-08-05,Lee O'Connor,1
2023-08-05,Regan Hendry,1
2012-08-18,Owain Williams,1
2012-08-18,Andy Robinson,1
2012-08-21,Danny Holmes,1
2012-08-21,Liam Palmer,1
2012-09-08,James Wallace,1
2012-09-15,Andy Robinson,1
2012-09-18,Andy Robinson,1
2012-09-22,Ash Taylor,1
2012-09-29,Andy Robinson,1
2012-10-02,Liam Palmer,1
2012-10-13,Danny Holmes,1
2012-10-13,James Wallace,1
2012-10-20,Zoumana Bakayogo,1
2012-10-23,James Wallace,1
2012-10-27,Jake Cassidy,1
2012-11-07,Ben Gibson,1
2012-11-07,Andy Robinson,1
2012-11-10,Ash Taylor,1
2012-11-10,Liam Palmer,1
2012-11-16,Ben Gibson,1
2012-11-16,Jake Jervis,1
2012-11-20,Ash Taylor,1
2012-12-15,Adam McGurk,1
2012-12-26,Zoumana Bakayogo,1
2013-01-01,Donervon Daniels,1
2013-01-16,Zoumana Bakayogo,1
2013-01-16,Danny Holmes,1
2013-01-12,Donervon Daniels,1
2013-01-19,Owain Williams,1
2013-01-19,Zoumana Bakayogo,1
2013-01-19,Max Power,1
2013-01-19,Adam McGurk,1
2013-02-02,Danny Holmes,1
