game_date,shirt_no,player_name,on_for,off_for
1974-04-16,10.0,Paul Crossley,,12.0
1974-04-16,12.0,Mark Palios,10.0,
1974-04-20,7.0,Steve Peplow,,12.0
1974-04-20,12.0,Mark Palios,7.0,
1974-08-24,12.0,John Webb,11.0,
1974-08-24,11.0,Tommy Young,,12.0
1974-08-31,9.0,Bobby Tynan,,12.0
1974-08-31,12.0,Barrie Mitchell,9.0,
1974-09-07,11.0,Tommy Young,,12.0
1974-09-07,12.0,John Webb,11.0,
1974-09-13,9.0,Tommy Young,,12.0
1974-09-13,12.0,Steve Peplow,9.0,
1974-09-18,8.0,Mark Palios,,12.0
1974-09-18,12.0,John Webb,8.0,
1974-09-21,6.0,Tommy Veitch,,12.0
1974-09-21,12.0,Russell Allen,6.0,
1974-09-25,9.0,Barrie Mitchell,,12.0
1974-09-25,12.0,Russell Allen,9.0,
1974-09-27,12.0,Barrie Mitchell,10.0,
1974-09-27,10.0,John Seasman,,12.0
1974-10-01,12.0,Barrie Mitchell,10.0,
1974-10-01,10.0,Mark Palios,,12.0
1974-10-04,5.0,Dave Philpotts,,12.0
1974-10-04,12.0,Paul Crossley,5.0,
1974-10-19,8.0,Bobby Tynan,,12.0
1974-10-19,12.0,Barrie Mitchell,8.0,
1974-10-21,2.0,John Webb,,12.0
1974-10-21,12.0,Paul Crossley,2.0,
1974-10-26,8.0,Barrie Mitchell,,12.0
1974-10-26,12.0,Les Parry,8.0,
1974-11-02,10.0,John Seasman,,12.0
1974-11-02,12.0,Russell Allen,10.0,
1974-11-09,11.0,Steve Peplow,,12.0
1974-11-09,12.0,Paul Crossley,11.0,
1974-11-15,12.0,Russell Allen,8.0,
1974-11-15,8.0,Bobby Tynan,,12.0
1974-11-29,11.0,Paul Crossley,,12.0
1974-11-29,12.0,Russell Allen,11.0,
1974-12-06,11.0,Paul Crossley,,12.0
1974-12-06,12.0,Russell Allen,11.0,
1974-12-14,8.0,Bobby Tynan,,12.0
1974-12-14,12.0,Russell Allen,8.0,
1974-12-21,2.0,Les Parry,,12.0
1974-12-21,12.0,Russell Allen,2.0,
1974-12-26,8.0,Bobby Tynan,,12.0
1974-12-26,12.0,John Webb,8.0,
1974-12-28,4.0,Ronnie Moore,,12.0
1974-12-28,12.0,Steve Peplow,4.0,
1975-01-04,8.0,Bobby Tynan,,12.0
1975-01-04,12.0,Tommy Veitch,8.0,
1975-01-18,12.0,Kit Fagan,8.0,
1975-01-18,8.0,Steve Peplow,,12.0
1975-01-31,12.0,Kit Fagan,10.0,
1975-01-31,10.0,Barrie Mitchell,,12.0
