game_date,player_name,goal_no,goal_min,added_time,penalty,own_goal
2017-08-28,Oliver Norburn,1,19,0,0,0
2017-08-28,Andy Cook,1,82,0,0,0
2017-09-09,James Norwood,1,90,0,0,0
2017-09-30,James Norwood,1,90,3,0,0
2017-10-04,Andy Cook,1,25,0,0,0
2017-10-04,James Norwood,1,70,0,0,0
2017-11-04,Andy Cook,1,72,0,0,0
2017-12-09,Connor Jennings,1,35,0,0,0
2017-12-09,Andy Cook,1,79,0,0,0
2017-12-09,Andy Cook,2,82,0,0,0
2018-01-01,Oliver Banks,1,58,0,0,0
2018-01-01,Connor Jennings,1,90,2,1,0
2018-01-06,James Norwood,1,90,3,0,0
2018-01-13,Andy Cook,1,28,0,0,0
2018-01-20,James Norwood,1,4,0,0,0
2018-01-20,Josh Ginnelly,1,49,0,0,0
2018-01-20,Jeff Hughes,1,78,0,0,0
2018-01-27,Ritchie Sutton,1,10,0,0,0
2018-01-27,Andy Cook,1,45,0,0,0
2018-02-03,Andy Cook,1,16,0,0,0
2018-02-03,James Norwood,1,35,0,0,0
2018-02-03,James Norwood,2,63,0,0,0
2018-02-10,Ritchie Sutton,1,43,0,0,0
2018-02-17,Connor Jennings,1,35,0,0,0
2018-02-20,Andy Cook,1,49,0,0,0
2018-02-24,Andy Cook,1,39,0,0,0
2018-02-24,Alex Finney,1,85,0,0,1
2018-02-24,Adam Buxton,1,88,0,1,0
2018-03-10,Andy Cook,1,47,0,0,0
2018-03-10,James Norwood,1,68,0,0,0
2018-03-10,Andy Cook,2,69,0,0,0
2018-03-10,James Norwood,2,90,0,0,0
2018-03-17,James Norwood,1,66,0,0,0
2018-03-24,Ritchie Sutton,1,9,0,0,0
2018-03-24,Andy Cook,1,78,0,0,0
2018-03-24,Andy Cook,2,90,1,0,0
2018-04-07,Andy Cook,1,45,1,0,0
2018-04-07,James Norwood,1,64,0,0,0
2018-04-10,Andy Cook,1,45,1,0,0
2018-04-10,Andy Cook,2,53,0,0,0
2018-04-10,Andy Cook,3,60,0,0,0
2018-04-10,Andy Cook,4,69,0,0,0
2018-04-14,James Norwood,1,70,0,0,0
2018-04-14,James Norwood,2,80,0,0,0
2018-04-17,Andy Cook,1,39,0,0,0
2018-04-21,Andy Cook,1,4,0,0,0
2018-04-21,James Norwood,1,23,0,0,0
2018-04-24,Devarn Green,1,67,0,0,0
2018-04-28,Jeff Hughes,1,76,0,0,0
2018-05-05,James Norwood,1,33,0,0,0
2018-05-05,Josh Ginnelly,1,56,0,0,0
2018-05-05,James Norwood,2,101,0,0,0
2018-05-05,Larnell Cole,1,106,0,0,0
2018-08-04,James Norwood,1,33,0,0,0
2018-08-04,James Norwood,2,55,0,0,0
2018-08-11,James Norwood,1,13,0,0,0
2018-09-01,James Norwood,1,51,0,0,0
2018-10-02,James Norwood,1,61,0,0,0
2018-10-06,Oliver Banks,1,28,0,0,0
2018-10-06,Harvey Gilmour,1,41,0,0,0
2018-10-06,Johnny Smith,1,54,0,0,0
2018-10-06,Harvey Gilmour,2,89,0,0,0
2018-11-03,James Norwood,1,31,0,0,0
2018-11-03,James Norwood,2,55,0,0,0
2018-12-02,Johnny Smith,1,18,0,0,0
2019-01-01,Connor Jennings,1,32,0,0,0
2019-02-05,James Norwood,1,25,0,0,0
2019-02-09,Kieron Morris,1,45,4,0,0
2019-02-09,James Norwood,1,79,0,0,0
2019-02-19,James Norwood,1,10,0,0,0
2019-02-19,James Norwood,2,56,0,0,0
2019-02-23,Connor Jennings,1,69,0,0,0
2019-03-02,James Norwood,1,31,0,0,0
2019-03-08,James Norwood,1,72,0,0,0
2019-03-12,Connor Jennings,1,18,0,0,0
2019-03-12,Emmanuel Monthe,1,34,0,0,0
2019-03-12,James Norwood,1,39,0,0,0
2019-03-12,Connor Jennings,2,44,0,0,0
2019-03-23,James Norwood,1,23,0,0,0
2019-03-23,David Perkins,1,46,0,0,0
2019-03-30,Oliver Banks,1,45,1,0,0
2019-03-30,James Norwood,1,64,0,0,0
2019-03-30,Emmanuel Monthe,1,82,0,0,0
2019-04-13,David Perkins,1,30,0,0,0
2019-04-13,Connor Jennings,1,62,0,0,0
2019-04-30,James Norwood,1,11,0,0,0
2019-05-04,James Norwood,1,50,0,1,0
2019-08-03,Stephen Dooley,1,89,0,0,1
2019-08-03,Connor Jennings,1,90,3,0,0
2019-09-07,Connor Jennings,1,67,0,0,0
2019-09-07,Paul Mullin,1,70,0,0,0
2019-09-17,Liam Ridehalgh,1,65,0,0,0
2019-09-17,Oliver Banks,1,70,0,0,0
2019-09-21,Oliver Banks,1,90,2,0,0
2019-09-21,Stefan Payne,1,90,5,0,0
2019-09-28,Stefan Payne,1,39,0,0,0
2019-11-02,Rushian Hepburn-Murphy,1,19,0,0,0
2019-11-02,Rushian Hepburn-Murphy,2,53,0,0,0
2019-11-02,Rushian Hepburn-Murphy,3,69,0,0,0
2019-12-01,Corey Taylor,1,62,0,0,0
2019-12-01,Morgan Ferrier,1,64,0,0,0
2019-12-01,Morgan Ferrier,2,71,0,0,0
2019-12-01,Morgan Ferrier,3,75,0,0,0
2019-12-01,Corey Taylor,2,85,0,0,0
2020-01-01,Connor Jennings,1,34,0,0,0
2020-02-22,James Vaughan,1,63,0,0,0
2020-02-25,Mark Ellis,1,9,0,0,0
2020-02-25,Alex Woodyard,1,14,0,0,0
2020-02-25,Corey Taylor,1,90,5,0,0
2020-03-07,James Vaughan,1,8,0,0,0
2020-03-07,Mark Ellis,1,77,0,0,0
2020-03-10,Morgan Ferrier,1,37,0,0,0
2020-03-10,James Vaughan,1,45,1,0,0
2020-09-05,James Vaughan,1,64,0,0,0
2020-10-03,James Vaughan,1,41,0,0,0
2020-10-03,James Vaughan,2,66,0,0,0
2020-10-10,Kieron Morris,1,86,0,0,0
2020-10-10,Paul Lewis,1,90,3,0,0
2020-10-24,Peter Clarke,1,31,0,0,0
2020-10-24,James Vaughan,1,52,0,0,0
2020-11-03,Otis Khan,1,79,0,0,0
2020-12-01,James Vaughan,1,27,0,0,0
2020-12-05,Liam Feeney,1,31,0,0,0
2021-02-02,Danny Lloyd,1,38,0,0,0
2021-02-02,Paul Lewis,1,82,0,0,0
2021-03-02,Liam Feeney,1,6,0,0,0
2021-03-09,Paul Lewis,1,8,0,0,0
2021-03-09,George Ray,1,24,0,0,0
2021-04-05,Paul Lewis,1,11,0,0,0
2021-04-20,Paudie O'Connor,1,45,1,0,1
2021-04-24,David Nugent,1,66,0,0,0
2021-05-01,Kieron Morris,1,90,6,0,0
2021-08-07,Callum McManaman,1,73,0,0,0
2021-09-04,Tom Davies,1,89,0,0,0
2021-10-02,Peter Clarke,1,28,0,0,0
2021-10-02,Peter Clarke,2,79,0,0,0
2021-11-06,Callum McManaman,1,38,0,0,0
2022-01-08,Charlie Jolley,1,23,0,0,0
2022-01-08,Elliott Nevitt,1,31,0,0,0
2022-01-08,Sam Foley,1,75,0,0,0
2022-01-08,Ryan Watson,1,89,0,0,0
2022-01-11,Paul Glatzel,1,70,0,0,0
2022-01-15,Charlie Jolley,1,3,0,0,0
2022-01-15,Charlie Jolley,2,16,0,0,0
