type,timeElapsed,addedTime,penalty,ownGoal,displayTime,first,full,abbreviation,last,score,halfTime,fullTime,extraTime,shootout,aggregate,aggregateGoalsAway,team,team_name,date,home_goal,away_goal,home_score,away_score,trfc_score,opp_score
goal,64,0,False,False,64',Chris,Chris O'Grady,O'Grady,O'Grady,2,1,2,,,,,homeTeam,Bolton Wanderers,2020-02-01T15:00:00+00:00,1,0,2,0,0,2
goal,54,0,False,False,54',Jacob,Jacob Ramsey,J Ramsey,Ramsey,3,0,3,,,,,awayTeam,Doncaster Rovers,2020-02-04T19:45:00+00:00,0,1,0,1,1,1
goal,75,0,False,False,75',Jacob,Jacob Ramsey,J Ramsey,Ramsey,3,0,3,,,,,awayTeam,Doncaster Rovers,2020-02-04T19:45:00+00:00,0,1,0,2,2,2
goal,84,0,False,False,84',Fejiri,Fejiri Okenabirhie,Okenabirhie,Okenabirhie,3,0,3,,,,,awayTeam,Doncaster Rovers,2020-02-04T19:45:00+00:00,0,1,0,3,3,3
goal,13,0,False,False,13',Sean,Sean Raggett,Raggett,Raggett,2,1,2,,,,,awayTeam,Portsmouth,2020-02-08T15:00:00+00:00,0,1,0,1,1,1
goal,51,0,False,False,51',Ryan,Ryan Williams,Williams,Williams,2,1,2,,,,,awayTeam,Portsmouth,2020-02-08T15:00:00+00:00,0,1,0,2,2,2
goal,45,1,False,False,45'+1,Anthony,Anthony Stewart,Stewart,Stewart,3,1,3,,,,,homeTeam,Wycombe Wanderers,2020-02-22T15:00:00+00:00,1,0,1,0,0,1
goal,63,0,False,False,63',James,James Vaughan,Vaughan,Vaughan,1,0,1,,,,,awayTeam,Tranmere Rovers,2020-02-22T15:00:00+00:00,0,1,1,1,1,1
goal,71,0,False,False,71',Adebayo,Adebayo Akinfenwa,Akinfenwa,Akinfenwa,3,1,3,,,,,homeTeam,Wycombe Wanderers,2020-02-22T15:00:00+00:00,1,0,2,1,1,2
goal,90,2,True,False,90'+2,Joe,Joe Jacobson,Jacobson,Jacobson,3,1,3,,,,,homeTeam,Wycombe Wanderers,2020-02-22T15:00:00+00:00,1,0,3,1,1,3
goal,9,0,False,False,9',Mark,Mark Ellis,Ellis,Ellis,3,2,3,,,,,awayTeam,Tranmere Rovers,2020-02-25T19:45:00+00:00,0,1,0,1,1,1
goal,14,0,False,False,14',Alex,Alex Woodyard,Woodyard,Woodyard,3,2,3,,,,,awayTeam,Tranmere Rovers,2020-02-25T19:45:00+00:00,0,1,0,2,2,2
goal,56,0,False,False,56',Aaron,Aaron Pierre,Pierre,Pierre,2,0,2,,,,,homeTeam,Shrewsbury Town,2020-02-25T19:45:00+00:00,1,0,1,2,2,1
goal,61,0,False,False,61',Callum,Callum Lang,Lang,Lang,2,0,2,,,,,homeTeam,Shrewsbury Town,2020-02-25T19:45:00+00:00,1,0,2,2,2,2
goal,90,5,False,False,90'+5,Corey,Corey Taylor,Blackett-Taylor,Blackett-Taylor,3,2,3,,,,,awayTeam,Tranmere Rovers,2020-02-25T19:45:00+00:00,0,1,2,3,3,3
goal,8,0,False,False,8',James,James Vaughan,Vaughan,Vaughan,2,1,2,,,,,awayTeam,Tranmere Rovers,2020-03-07T15:00:00+00:00,0,1,0,1,1,1
goal,77,0,False,False,77',Mark,Mark Ellis,Ellis,Ellis,2,1,2,,,,,awayTeam,Tranmere Rovers,2020-03-07T15:00:00+00:00,0,1,0,2,2,2
goal,82,0,False,True,82',Alex,Alex Woodyard,Woodyard,Woodyard,1,0,1,,,,,homeTeam,Accrington Stanley,2020-03-07T15:00:00+00:00,1,0,1,2,2,1
goal,37,0,False,False,37',Morgan,Morgan Ferrier,Ferrier,Ferrier,2,2,2,,,,,awayTeam,Tranmere Rovers,2020-03-10T19:45:00+00:00,0,1,0,1,1,1
goal,45,1,False,False,45'+1,James,James Vaughan,Vaughan,Vaughan,2,2,2,,,,,awayTeam,Tranmere Rovers,2020-03-10T19:45:00+00:00,0,1,0,2,2,2
goal,58,0,False,False,58',Kiernan,Kiernan Dewsbury-Hall,Dewsbury-Hall,Dewsbury-Hall,1,0,1,,,,,homeTeam,Blackpool,2020-03-10T19:45:00+00:00,1,0,1,2,2,1
goal,64,0,False,False,64',James,James Vaughan,Vaughan,Vaughan,1,0,1,,7,,,homeTeam,Tranmere Rovers,2020-09-05T15:00:00+01:00,1,0,1,0,1,0
goal,69,0,False,False,69',Lloyd,Lloyd Kerry,Kerry,Kerry,1,0,1,,8,,,awayTeam,Harrogate Town,2020-09-05T15:00:00+01:00,0,1,1,1,1,1
goal,41,0,False,False,41',James,James Vaughan,Vaughan,Vaughan,2,1,2,,,,,homeTeam,Tranmere Rovers,2020-10-03T15:00:00+01:00,1,0,1,0,1,0
goal,66,0,False,False,66',James,James Vaughan,Vaughan,Vaughan,2,1,2,,,,,homeTeam,Tranmere Rovers,2020-10-03T15:00:00+01:00,1,0,2,0,2,0
goal,2,0,False,False,2',Richard,Richard Towell,Towell,Towell,2,2,2,,,,,homeTeam,Salford City,2020-10-10T15:00:00+01:00,1,0,1,0,0,1
goal,20,0,False,False,20',James,James Wilson,Wilson,Wilson,2,2,2,,,,,homeTeam,Salford City,2020-10-10T15:00:00+01:00,1,0,2,0,0,2
goal,86,0,False,False,86',Kieron,Kieron Morris,Morris,Morris,2,0,2,,,,,awayTeam,Tranmere Rovers,2020-10-10T15:00:00+01:00,0,1,2,1,1,1
