game_date,player_name,goal_no,goal_min,added_time,penalty,own_goal
2018-10-06,Vadaine Oliver,1,73,0,0,0
2018-10-06,A-Jay Leitch-Smith,1,80,0,0,0
2018-12-02,Bradley Bauress,1,70,0,0,0
2019-01-01,Koby Arthur,1,41,0,0,0
2019-02-05,Sam Hoskins,1,2,0,0,0
2019-02-05,Sam Hoskins,2,45,3,0,0
2019-02-19,Ben Whitfield,1,59,0,0,0
2019-03-12,Martyn Woolford,1,33,0,0,0
2019-04-02,Callum Lang,1,7,0,0,0
2019-04-02,Callum Lang,2,61,0,0,0
2019-04-13,Kieran Agard,1,32,0,0,0
2019-04-19,Junior Mondal,1,47,0,0,0
2019-04-30,Danny Mayor,1,56,0,0,0
2019-05-04,Ashley Nathaniel-George,1,36,0,0,0
2019-05-04,Filipe Morais,1,42,0,0,0
2019-05-04,Panutche Camara,1,90,2,0,0
2019-08-03,Ian Henderson,1,12,0,1,0
2019-08-03,Ian Henderson,2,48,0,0,0
2019-08-03,Rhys Norrington-Davies,1,69,0,0,0
2019-08-10,Ben Close,1,27,0,0,0
2019-08-10,Tom Naylor,1,75,0,0,0
2019-09-07,Alex Jakubiak,1,16,0,0,0
2019-09-07,Alfie Jones,1,36,0,0,0
2019-09-14,James Henry,1,23,0,1,0
2019-09-14,Cameron Brannagan,1,70,0,0,0
2019-09-14,James Henry,2,90,2,1,0
2019-09-17,Mohamed Eisa,1,54,0,0,0
2019-09-17,Ivan Toney,1,56,0,0,0
2019-09-21,Lucas Akins,1,66,0,1,0
2019-09-28,Luke Garbutt,1,35,0,0,0
2019-09-28,Kayden Jackson,1,48,0,0,0
2019-09-28,Jon Nolan,1,62,0,0,0
2019-09-28,Kane Vincent-Young,1,70,0,0,0
2019-10-05,Aaron Pierre,1,20,0,0,0
2019-11-02,Ben Reeves,1,42,0,0,0
2019-12-01,Ryan Peake,1,90,1,0,0
2020-01-01,Matt Godden,1,3,0,0,0
2020-01-01,Jordan Shipley,1,17,0,0,0
2020-01-01,Matt Godden,2,67,0,0,0
2020-01-01,Matt Godden,3,90,2,1,0
2020-02-01,Dennis Politic,1,2,0,0,0
2020-02-01,Chris O'Grady,1,64,0,0,0
2020-02-04,Jacob Ramsey,1,54,0,0,0
2020-02-04,Jacob Ramsey,2,75,0,0,0
2020-02-04,Fejiri Okenabirhie,1,84,0,0,0
2020-02-08,Sean Raggett,1,13,0,0,0
2020-02-08,Ryan Williams,1,51,0,0,0
2020-02-22,Anthony Stewart,1,45,1,0,0
2020-02-22,Adebayo Akinfenwa,1,71,0,0,0
2020-02-22,Joe Jacobson,1,90,2,1,0
2020-02-25,Aaron Pierre,1,56,0,0,0
2020-02-25,Callum Lang,1,61,0,0,0
2020-03-07,Alex Woodyard,1,82,0,0,1
2020-03-10,Kiernan Dewsbury-Hall,1,58,0,0,0
2020-09-05,Lloyd Kerry,1,69,0,0,0
2020-10-10,Richard Towell,1,2,0,0,0
2020-10-10,James Wilson,1,20,0,0,0
2020-10-17,Saikou Janneh,1,25,0,0,0
2020-10-20,Danny Johnson,1,71,0,0,0
2020-10-27,Max Watters,1,13,0,0,0
2020-10-27,Tom Nichols,1,21,0,0,0
2020-10-27,Jordan Tunnicliffe,1,24,0,0,0
2020-10-27,Tyler Frost,1,77,0,0,0
2020-10-31,Adam Phillips,1,57,0,1,0
2020-12-05,Elijah Adebayo,1,19,0,0,0
2020-12-05,Wesley McDonald,1,48,0,0,0
2020-12-05,Dan Scarr,1,66,0,0,0
2021-01-10,Michal Helik,1,59,0,0,0
2021-01-10,Cauley Woodrow,1,90,5,1,0
2021-02-02,Jonson Clarke-Harris,1,90,1,1,0
2021-03-06,Tom Nichols,1,58,0,0,0
2021-04-02,Conor Thomas,1,4,0,0,0
2021-04-02,William Boyle,1,14,0,0,0
2021-04-02,Alfie May,1,42,0,0,0
2021-04-02,Callum Wright,1,57,0,0,0
2021-04-05,Paul Mullin,1,60,0,0,0
2021-04-13,Emmanuel Osadebe,1,70,0,0,0
2021-05-01,Josh Davison,1,50,0,0,0
2021-05-01,Aaron Collins,1,81,0,1,0
2021-09-11,Danny Cashman,1,84,0,0,0
2021-10-02,Kwesi Appiah,1,64,0,0,0
2021-12-04,Harry Smith,1,22,0,0,0
2021-12-04,Omar Beckles,1,36,0,0,0
2021-12-04,Aaron Drinan,1,60,0,1,0
2021-12-04,Harry Smith,2,83,0,0,0
2022-01-11,Aramide Oteh,1,29,0,0,0
2022-01-29,Matt Stevens,1,6,0,0,0
2022-01-29,Jamille Matt,1,42,0,0,0
2022-01-29,Jordan Moore-Taylor,1,53,0,0,0
2022-01-29,Regan Hendry,1,70,0,0,0
2022-02-05,Oliver Banks,1,58,0,1,0
2022-02-12,Conor Wilkinson,1,85,0,1,0
2022-02-15,Peter Clarke,1,45,1,0,1
2022-02-19,Jamie Proctor,1,90,4,0,0
2022-02-26,Aaron Lewis,1,49,0,0,0
2022-02-26,Dominic Telford,1,57,0,1,0
2022-02-26,Finn Azaz,1,88,0,0,0
2022-02-26,Dominic Telford,2,90,2,0,0
2022-03-05,Fraser Horsfall,1,29,0,0,0
2022-03-05,Fraser Horsfall,2,37,0,0,0
2022-03-05,Mitchell Pinnock,1,66,0,0,0
2022-03-11,Matthew Longstaff,1,45,6,0,0
2022-03-11,Oliver Hawkins,1,90,1,0,0
2022-03-19,Ben Goodliffe,1,15,0,0,0
2022-03-26,Junior Tchamadeu,1,90,5,0,0
2022-04-02,Omari Patrick,1,55,0,0,0
2022-04-02,Tobi Sho-Silva,1,90,7,0,0
2022-04-09,Elliot Anderson,1,63,0,0,0
2022-04-15,Jamie Walker,1,19,0,0,0
2022-04-23,Luke Norris,1,23,0,1,0
2022-04-23,Luke Norris,2,67,0,0,0
2022-07-30,Jake Reeves,1,40,0,0,0
2022-07-30,Jordan Roberts,1,84,0,0,0
2022-08-06,Riley Harbottle,1,59,0,0,0
2022-09-03,Josh Dacres-Cogley,1,36,0,0,1
2022-09-03,Paul Smyth,1,85,0,0,0
2022-09-13,Andy Cook,1,3,0,0,0
2022-09-13,Andy Cook,2,75,0,0,0
2022-12-10,Brendan Kiernan,1,7,0,0,0
2022-12-10,Niall Maher,1,58,0,0,0
2022-12-29,Jordan Stevens,1,38,0,0,0
2023-01-01,Charlie Colkett,1,34,0,0,0
2023-01-07,Alistair Smith,1,11,0,0,0
2023-01-07,Alistair Smith,2,61,0,0,0
2023-01-14,Danny Johnson,1,72,0,0,0
2023-02-04,Kyle Knoyle,1,19,0,0,0
2023-02-04,Kyle Wootton,1,45,0,0,0
2023-02-04,Will Collar,1,78,0,0,0
2023-02-07,Ben Close,1,62,0,0,0
2023-02-07,Kyle Hurst,1,65,0,0,0
2023-02-14,Jamie Walker,1,43,0,0,0
2023-02-14,Andy Cook,1,74,0,0,0
2023-02-18,Riley Harbottle,1,34,0,0,0
2023-02-18,Davis Keillor-Dunn,1,54,0,0,0
2023-03-04,Callum Cooke,1,44,0,0,0
2023-03-11,Shaun Williams,1,32,0,0,0
2023-03-11,Conor Masterson,1,83,0,0,0
2023-03-18,Aaron Wildig,1,25,0,0,0
2023-03-18,Charlie McNeill,1,29,0,0,0
2023-03-18,Calum Kavanagh,1,82,0,0,0
2023-03-25,Noah Chilvers,1,65,0,1,0
2023-03-31,Luke Armstrong,1,4,0,0,0
2023-04-07,Kristian Dennis,1,3,0,0,0
2023-04-07,Kristian Dennis,2,39,0,0,0
2023-04-15,Aramide Oteh,1,30,0,0,0
2023-04-15,Jack Powell,1,40,0,0,0
2023-04-18,Danny Lloyd,1,69,0,0,0
2023-04-18,Ethan Ebanks-Landell,1,90,3,0,0
2023-04-29,Ali Al Hamadi,1,68,0,0,0
2023-05-08,Sam Hoskins,1,5,0,0,0
2023-08-05,Niall Canavan,1,19,0,0,0
2023-08-05,Kian Spence,1,70,0,0,0
2023-08-08,Herbie Kane,1,45,3,0,0
2023-08-08,Aiden Marsh,1,90,8,0,0
2023-08-12,Mohamed Eisa,1,7,0,0,0
2023-08-19,Matt Smith,1,34,0,0,0
2023-08-19,Callum Hendry,1,47,0,0,0
2023-08-19,Callum Hendry,2,68,0,0,0
