event_id,game_date
EFBO992255,2018-10-27
EFBO1014833,2018-10-30
EFBO992267,2018-11-03
EFBO1032591,2018-11-10
EFBO992269,2018-11-17
EFBO1033275,2018-11-20
EFBO992291,2018-11-24
EFBO992296,2018-11-27
EFBO1033528,2018-12-02
EFBO992314,2018-12-08
EFBO992325,2018-12-15
EFBO1034643,2018-12-17
EFBO992328,2018-12-22
EFBO992351,2018-12-26
EFBO992363,2018-12-29
EFBO992369,2019-01-01
EFBO992369,2019-01-01
EFBO1034933,2019-01-04
EFBO992389,2019-01-12
EFBO992410,2019-01-19
EFBO992417,2019-01-26
EFBO992386,2019-02-05
EFBO992446,2019-02-09
EFBO992448,2019-02-16
EFBO992433,2019-02-19
EFBO992470,2019-02-23
EFBO992474,2019-03-02
EFBO992496,2019-03-08
EFBO992507,2019-03-12
EFBO992522,2019-03-23
EFBO992542,2019-03-30
EFBO992517,2019-04-02
EFBO992552,2019-04-06
EFBO992566,2019-04-13
EFBO992579,2019-04-19
EFBO992584,2019-04-22
EFBO992603,2019-04-30
EFBO992605,2019-05-04
EFBO1056735,2019-05-10
EFBO1056737,2019-05-13
EFBO1057386,2019-05-25
EFBO1058948,2019-07-11
EFBO1064352,2019-08-03
EFBO1064362,2019-08-10
EFBO1065632,2019-08-13
EFBO1064376,2019-08-17
EFBO1064380,2019-08-20
EFBO1064412,2019-08-31
EFBO1064424,2019-09-07
EFBO1064434,2019-09-14
EFBO1064448,2019-09-17
EFBO1064460,2019-09-21
EFBO1064466,2019-09-28
EFBO1064484,2019-10-05
EFBO1087910,2019-10-08
EFBO1064489,2019-10-13
EFBO1064508,2019-10-18
EFBO1064520,2019-10-22
EFBO1064541,2019-11-02
EFBO2033344,2019-11-09
EFBO1087533,2019-11-12
EFBO1064557,2019-11-17
EFBO2040827,2019-11-20
EFBO1064560,2019-11-23
EFBO2040878,2019-12-01
EFBO2040878,2019-12-01
EFBO2041445,2019-12-04
EFBO1064581,2019-12-07
EFBO1064586,2019-12-14
EFBO1064605,2019-12-21
EFBO1064608,2019-12-26
EFBO1064628,2019-12-29
EFBO1064640,2020-01-01
EFBO1064640,2020-01-01
EFBO2042067,2020-01-04
EFBO2042853,2020-01-07
EFBO1064664,2020-01-11
EFBO1064676,2020-01-18
EFBO2048116,2020-01-23
EFBO2048316,2020-01-26
EFBO1064700,2020-01-29
EFBO1064703,2020-02-01
EFBO1064703,2020-02-01
EFBO1064533,2020-02-04
EFBO1064724,2020-02-08
EFBO1064736,2020-02-11
EFBO1064761,2020-02-22
EFBO1064651,2020-02-25
EFBO1064775,2020-03-07
EFBO1064678,2020-03-10
EFBO1064797,2020-03-14
EFBO1064747,2020-03-17
EFBO1064798,2020-03-21
EFBO1064821,2020-03-28
EFBO1064826,2020-04-04
EFBO1064856,2020-04-13
EFBO1064863,2020-04-18
EFBO1064773,2020-04-21
EFBO1064880,2020-04-25
EFBO1064891,2020-05-03
EFBO2127743,2020-09-05
EFBO2128099,2020-09-08
EFBO2130365,2020-09-12
EFBO2130383,2020-09-19
EFBO2130387,2020-09-26
EFBO2128103,2020-09-29
EFBO2130407,2020-10-03
EFBO2130416,2020-10-10
EFBO2130427,2020-10-17
EFBO2130443,2020-10-20
EFBO2130455,2020-10-24
EFBO2130458,2020-10-27
EFBO2130479,2020-10-31
EFBO2130487,2020-11-03
EFBO2173623,2020-11-07
EFBO2128104,2020-11-11
EFBO2130502,2020-11-14
EFBO2130515,2020-11-21
EFBO2130527,2020-11-24
EFBO2174987,2020-11-27
EFBO2130537,2020-12-01
EFBO2130537,2020-12-01
EFBO2130551,2020-12-05
EFBO2176414,2020-12-08
EFBO2130554,2020-12-12
EFBO2130577,2020-12-19
EFBO2130599,2020-12-26
EFBO2130600,2020-12-29
EFBO2177561,2021-01-10
EFBO2181192,2021-01-13
EFBO2130646,2021-01-16
EFBO2130635,2021-01-19
EFBO2130659,2021-01-23
EFBO2130671,2021-01-26
EFBO2130680,2021-01-30
EFBO2187327,2021-02-02
EFBO2130695,2021-02-06
EFBO2130575,2021-02-09
EFBO2189920,2021-02-16
EFBO2130719,2021-02-20
EFBO2130723,2021-02-23
EFBO2130737,2021-02-27
EFBO2130755,2021-03-02
EFBO2130767,2021-03-06
EFBO2130778,2021-03-09
EFBO2191510,2021-03-14
EFBO2130702,2021-03-17
EFBO2130803,2021-03-20
EFBO2130615,2021-03-23
EFBO2130815,2021-03-27
EFBO2130820,2021-04-02
EFBO2130839,2021-04-05
EFBO2130849,2021-04-10
EFBO2130791,2021-04-13
EFBO2130863,2021-04-17
EFBO2130866,2021-04-20
EFBO2130887,2021-04-24
EFBO2130892,2021-05-01
EFBO2130892,2021-05-01
EFBO2130911,2021-05-08
EFBO2205590,2021-05-20
EFBO2205591,2021-05-23
EFBO2213991,2021-08-07
EFBO2214977,2021-08-10
EFBO2213999,2021-08-14
EFBO2214014,2021-08-17
EFBO2214027,2021-08-21
EFBO2214036,2021-08-28
EFBO2214051,2021-09-04
EFBO2214058,2021-09-11
EFBO2229418,2021-09-14
EFBO2214075,2021-09-18
EFBO2214078,2021-09-25
EFBO2214099,2021-10-02
EFBO2229420,2021-10-05
EFBO2214110,2021-10-08
EFBO2214113,2021-10-16
EFBO2214128,2021-10-19
EFBO2214146,2021-10-23
EFBO2214154,2021-10-30
EFBO2257477,2021-11-06
EFBO2229424,2021-11-09
EFBO2214170,2021-11-13
EFBO2214174,2021-11-20
EFBO2214195,2021-11-23
EFBO2258702,2021-12-04
EFBO2214217,2021-12-07
EFBO2214223,2021-12-11
EFBO2214243,2021-12-18
EFBO2258843,2021-12-21
EFBO2214255,2021-12-26
EFBO2214291,2022-01-08
EFBO2214275,2022-01-11
EFBO2214303,2022-01-15
EFBO2214305,2022-01-22
EFBO2214327,2022-01-29
EFBO2214207,2022-02-01
EFBO2214207,2022-02-01
EFBO2214328,2022-02-05
EFBO2214351,2022-02-08
EFBO2214363,2022-02-12
EFBO2214260,2022-02-15
EFBO2214375,2022-02-19
EFBO2214382,2022-02-26
EFBO2214396,2022-03-05
EFBO2214410,2022-03-11
EFBO2214422,2022-03-15
EFBO2214435,2022-03-19
EFBO2214438,2022-03-26
EFBO2214458,2022-04-02
EFBO2214471,2022-04-09
EFBO2214473,2022-04-15
EFBO2214495,2022-04-18
EFBO2214506,2022-04-23
EFBO2214519,2022-04-30
EFBO2214526,2022-05-07
EFBO2300834,2022-07-30
EFBO2300844,2022-08-06
EFBO2301560,2022-08-09
EFBO2300858,2022-08-13
EFBO2300867,2022-08-16
EFBO2300881,2022-08-20
EFBO2324425,2022-08-24
EFBO2300894,2022-08-27
EFBO2300902,2022-09-03
EFBO2300930,2022-09-13
EFBO2300941,2022-09-17
EFBO2307409,2022-09-20
EFBO2300955,2022-09-24
EFBO2300967,2022-10-01
EFBO2300967,2022-10-01
EFBO2307407,2022-10-04
EFBO2300978,2022-10-08
EFBO2300991,2022-10-14
EFBO2307410,2022-10-18
EFBO2300997,2022-10-22
EFBO2301014,2022-10-25
EFBO2301026,2022-10-29
EFBO2300918,2022-11-01
EFBO2300918,2022-11-01
EFBO2333856,2022-11-05
EFBO2301039,2022-11-12
EFBO2301050,2022-11-19
EFBO2336653,2022-11-22
EFBO2301061,2022-12-03
EFBO2301068,2022-12-10
EFBO2301099,2022-12-26
EFBO2301100,2022-12-29
EFBO2301115,2023-01-01
EFBO2301115,2023-01-01
EFBO2301135,2023-01-07
EFBO2301147,2023-01-14
EFBO2301170,2023-01-28
EFBO2301182,2023-02-04
EFBO2301152,2023-02-07
EFBO2301194,2023-02-11
EFBO2301196,2023-02-14
EFBO2301218,2023-02-18
EFBO2301230,2023-02-25
EFBO2301086,2023-02-28
EFBO2301242,2023-03-04
EFBO2301249,2023-03-11
EFBO2301266,2023-03-18
EFBO2301269,2023-03-25
EFBO2301290,2023-03-31
EFBO2301292,2023-04-07
EFBO2301314,2023-04-10
EFBO2301317,2023-04-15
EFBO2301335,2023-04-18
EFBO2301350,2023-04-22
EFBO2301352,2023-04-29
EFBO2301374,2023-05-08
EFBO2371632,2023-08-05
EFBO2372905,2023-08-08
EFBO2371640,2023-08-12
EFBO2371656,2023-08-15
EFBO2371668,2023-08-19
EFBO2371678,2023-08-26
EFBO2371632,2023-08-05
EFBO2372905,2023-08-08
EFBO2371640,2023-08-12
EFBO2371656,2023-08-15
EFBO2371668,2023-08-19
EFBO2371678,2023-08-26
EFBO2404261,2023-08-29
EFBO2371692,2023-09-02
EFBO2397423,2023-09-05
EFBO2371698,2023-09-09
EFBO2371711,2023-09-16
EFBO2371728,2023-09-23
EFBO2371730,2023-09-30
EFBO2371692,2023-09-02
EFBO2397423,2023-09-05
EFBO2371698,2023-09-09
EFBO2371711,2023-09-16
EFBO2371728,2023-09-23
EFBO2371730,2023-09-30
EFBO2371752,2023-10-03
EFBO2371765,2023-10-07
EFBO2397426,2023-10-10
EFBO2371767,2023-10-14
EFBO2371789,2023-10-20
EFBO2371797,2023-10-24
EFBO2371812,2023-10-28
EFBO2371752,2023-10-03
EFBO2371765,2023-10-07
EFBO2397426,2023-10-10
EFBO2371767,2023-10-14
EFBO2371789,2023-10-20
EFBO2371797,2023-10-24
EFBO2371812,2023-10-28
EFBO2412014,2023-11-04
EFBO2371823,2023-11-11
EFBO2397428,2023-11-14
EFBO2371837,2023-11-18
EFBO2371847,2023-11-25
EFBO2371856,2023-11-28
EFBO2371873,2023-12-09
EFBO2371884,2023-12-16
EFBO2371896,2023-12-23
EFBO2371907,2023-12-26
EFBO2371914,2023-12-29
EFBO2371932,2024-01-01
EFBO2371935,2024-01-06
EFBO2371956,2024-01-13
EFBO2371974,2024-01-27
EFBO2371993,2024-02-03
EFBO2371996,2024-02-10
EFBO2372017,2024-02-13
EFBO2372027,2024-02-17
EFBO2372033,2024-02-24
EFBO2371968,2024-02-27
EFBO2372051,2024-03-02
EFBO2372058,2024-03-09
EFBO2372075,2024-03-12
EFBO2372089,2024-03-16
EFBO2372100,2024-03-23
EFBO2372105,2024-03-29
EFBO2372124,2024-04-01
EFBO2372137,2024-04-06
EFBO2372144,2024-04-13
EFBO2372160,2024-04-20
EFBO2372163,2024-04-27
EFBO2450709,2024-08-10
EFBO2453035,2024-08-13
EFBO2450721,2024-08-17
EFBO2453498,2024-08-20
EFBO2450734,2024-08-24
EFBO2481548,2024-08-27
