game_date,player_name,card_min,card_inj_time
2016-03-28,Jeff Hughes,23,0
2016-03-28,Steven Jennings,51,0
2016-03-28,Scott Davies,88,0
2016-04-09,Scott Davies,77,0
2016-04-09,Steven Jennings,82,0
2016-04-09,Liam Ridehalgh,85,0
2016-04-16,Jay Harris,42,0
2016-04-16,Lee Vaughan,63,0
2016-04-30,Jay Harris,35,0
2016-08-06,Michael Ihiekwe,64,0
2016-08-06,Connor Jennings,67,0
2016-08-09,Steven Jennings,30,0
2016-08-13,Steven Jennings,33,0
2016-08-13,Jeff Hughes,43,0
2016-08-16,Michael Ihiekwe,82,0
2016-08-16,Lee Vaughan,88,0
2016-08-16,Scott Davies,88,0
2016-08-16,Steven Jennings,90,0
2016-08-27,Jay Harris,41,0
2016-09-03,Michael Ihiekwe,22,0
2016-09-03,Steven Jennings,46,0
2016-09-03,James Norwood,74,0
2016-09-03,Scott Davies,78,0
2016-09-10,Jay Harris,32,0
2016-09-10,Steve McNulty,53,0
2016-09-13,Liam Ridehalgh,35,0
2016-09-13,Andy Cook,36,0
2016-09-13,James Norwood,61,0
2016-09-13,Lee Vaughan,81,0
2016-09-17,Lois Maynard,42,0
2016-09-17,Steve McNulty,43,0
2016-09-17,Lee Vaughan,65,0
2016-10-01,Steven Jennings,63,0
2016-10-08,Jay Harris,78,0
2016-10-29,Lois Maynard,37,0
2016-10-29,Darren Stephenson,74,0
2016-11-12,Jay Harris,22,0
2016-11-12,Ben Tollitt,25,0
2016-11-12,Scott Davies,77,0
2016-11-12,Lee Vaughan,86,0
2016-11-19,Lee Vaughan,22,0
2016-11-19,Jay Harris,40,0
2016-11-19,Jeff Hughes,69,0
2016-11-19,Adam Mekki,73,0
2016-11-22,Jeff Hughes,46,0
2016-11-22,Ben Tollitt,73,0
2016-11-29,Jake Kirby,79,0
2016-11-29,Jeff Hughes,90,4
2016-12-03,Steve McNulty,45,2
2016-12-03,Jay Harris,88,0
2016-12-03,Scott Davies,90,5
2016-12-17,Liam Ridehalgh,76,0
2016-12-17,Andy Mangan,90,6
2017-01-01,Connor Jennings,80,0
2017-01-01,Scott Davies,82,0
2017-01-31,Lee Vaughan,10,0
2017-02-11,Andy Cook,40,0
2017-02-11,James Norwood,80,0
2017-02-11,Ben Tollitt,85,0
2017-02-18,Andy Cook,61,0
2017-02-21,Lois Maynard,89,0
2017-03-03,Michael Ihiekwe,45,2
2017-03-03,James Norwood,69,0
2017-03-03,Jay Harris,78,0
2017-03-07,Jay Harris,78,0
2017-03-07,Adam Mekki,82,0
2017-03-07,Michael Ihiekwe,89,0
2017-03-14,Jeff Hughes,62,0
2017-03-14,Ritchie Sutton,80,0
2017-03-21,Ritchie Sutton,90,1
2017-03-25,Steve McNulty,12,0
2017-03-25,Andy Cook,43,0
2017-03-25,Jay Harris,73,0
2017-03-25,James Norwood,87,0
2017-03-28,Andy Cook,42,0
2017-03-28,Connor Jennings,85,0
2017-03-28,Liam Ridehalgh,87,0
2017-03-28,Lee Vaughan,89,0
2017-03-28,Andy Mangan,90,5
2017-04-01,Jay Harris,70,0
2017-04-04,Connor Jennings,31,0
2017-04-04,Scott Davies,69,0
2017-04-04,Steve McNulty,83,0
2017-04-08,Jay Harris,77,0
2017-04-11,Jeff Hughes,19,0
2017-04-14,Michael Ihiekwe,65,0
2017-04-14,Cole Stockton,70,0
2017-04-17,James Wallace,25,0
2017-04-17,Steve McNulty,66,0
2017-04-17,Andy Mangan,90,0
