game_date,shirt_no,player_name,on_for,off_for
2013-11-30,2,Danny Holmes,31,
2013-11-30,3,Evan Horwood,5,
2013-11-30,8,James Wallace,,12
2013-11-30,5,Ian Goodison,,3
2013-12-07,16,Cole Stockton,26,
2013-12-07,12,James Rowe,15,
2013-12-07,26,Jean-Louis Akpa Akpro,,16
2013-12-07,15,Jake Kirby,,12
2013-12-14,12,James Rowe,14,
2013-12-14,14,Chris Atkinson,,12
2013-12-20,16,Cole Stockton,26,
2013-12-20,26,Jean-Louis Akpa Akpro,,16
2013-12-20,3,Evan Horwood,15,
2013-12-20,15,Jake Kirby,,3
2013-12-20,10,Andy Robinson,25,
2013-12-20,25,Kristoffer Peterson,,10
2013-12-26,10,Andy Robinson,,15
2013-12-26,8,James Wallace,,18
2013-12-26,18,Steven Jennings,8,
2013-12-26,14,Chris Atkinson,,17
2013-12-26,17,Max Power,14,
2013-12-26,15,Jake Kirby,10,
2013-12-29,2,Danny Holmes,,17
2013-12-29,26,Jean-Louis Akpa Akpro,14,
2013-12-29,14,Chris Atkinson,,26
2013-12-29,15,Jake Kirby,10,
2013-12-29,10,Andy Robinson,,15
2013-12-29,17,Max Power,2,
2014-01-01,10,Andy Robinson,,15
2014-01-01,17,Max Power,22,
2014-01-01,22,Jason Koumas,,17
2014-01-01,15,Jake Kirby,10,
2014-01-11,10,Andy Robinson,,15
2014-01-11,15,Jake Kirby,10,
2014-01-11,22,Jason Koumas,,16
2014-01-11,16,Cole Stockton,22,
2014-01-11,20,Matthew Kennedy,,26
2014-01-11,26,Jean-Louis Akpa Akpro,20,
2014-01-18,3,Evan Horwood,23,
2014-01-18,23,Liam Ridehalgh,,3
2014-01-18,17,Max Power,12,
2014-01-18,12,James Rowe,,17
2014-01-18,16,Cole Stockton,22,
2014-01-18,22,Jason Koumas,,16
2014-01-25,16,Cole Stockton,14,
2014-01-25,14,Jake Cassidy,,16
2014-01-25,10,Andy Robinson,15,
2014-01-25,15,Jake Kirby,,10
2014-01-28,22,Jason Koumas,18,
2014-01-28,15,Jake Kirby,,10
2014-01-28,10,Andy Robinson,15,
2014-01-28,20,Matthew Kennedy,,16
2014-01-28,16,Cole Stockton,20,
